Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva ou caixa mínimo,minimum_cash_ratio,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,Alerta se proxy IME ficar abaixo de 100%,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | ser amortizadas sempre que assim for previamente decidido em Assembleia Especial.8.6Observada a ordem de alocação de recursos prevista no item 9 deste Anexo Descritivo, será constituída Reserva de Liquidez, em Disponibilidades, a ser calculada diariamente pela Gestora, correspondente à soma da Reserva de Amortização e da Reserva de Despesas e Encargos. A partir da 1ª Data de Integralização de Cotas Seniores da 15ª s…",784311_regulamento_regulamento_784311_2024-11-18.pdf · ID 784311 · 18/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ia Geralou de Assembleia Especial. Além disso, as condições previstas no Regulamento podem ser revistas por decisão dos Cotistas em Assembleia Geral ou em Assembleia Especial. Tais alterações poderão afetar o modo de operação da Classe Única de forma contrária ao interesse de parte dos Cotistas.11.9.11Risco de Utilização de Instrumentos Derivativos.A eventual contratação, pela Classe Única, de modalidades de operaçõ…",784311_regulamento_regulamento_784311_2024-11-18.pdf · ID 784311 · 18/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | leia Especial. Tais alterações poderão afetar o modo de operação da Classe Única de forma contrária ao interesse de parte dos Cotistas.11.9.11Risco de Utilização de Instrumentos Derivativos.A eventual contratação, pela Classe Única, de modalidades de operações de derivativos poderá ocorrer exclusivamente para proteção de posições detidas à vista pela Classe Única. A realização de operações pela Classe Única no merca…",784311_regulamento_regulamento_784311_2024-11-18.pdf · ID 784311 · 18/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.692.888/0001-82,Reserva ou caixa mínimo,minimum_cash_ratio,"95,5%",parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,"Alerta se proxy IME ficar abaixo de 95,5%","O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | Mezanino II, deduzido o valor dos Outros Ativos, e o denominador é o valor do patrimônio líquido, deduzido o valor dos outros ativos, apurada diariamente pelo custodiante (exemplo: se Razão de Garantia Mezanino II for 0,955, então Razão de Garantia Mezanino II = 95,5%); 121) “Regulamento”: o regulamento do Fundo; 122) “Reserva de Caixa”: tem o significado que lhe é atribuído no item (23.3) do Capítulo XXIII; 123) “R…",772010_regulamento_regulamento_772010_2024-11-05.pdf · ID 772010 · 05/11/2024,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Reserva ou caixa mínimo,minimum_cash_ratio,100%,parcial,Disponibilidades / PL ou Disponibilidades / amortização estimada,Alerta se proxy IME ficar abaixo de 100%,"O Informe Mensal traz caixa, mas cronogramas futuros e reservas regulatórias nem sempre são campos padronizados. | Extração local heurística; validar manualmente antes de ativar alerta. | Descritivo, será constituída a Reserva de Liquidez, em Disponibilidades, a ser calculada diariamente pela Gestora, correspondente ao maior entre (i) a soma da Reserva de Amortização e da Reserva de Despesas e Encargos e (ii) a Reserva de Fluxo de Caixa. 8.6.1 Os procedimentos descritos neste item 8 não constituem promessa ou garantia, por parte da Gestora, de que haverá recursos suficientes para a constituição da Re…",1061833_regulamento_regulamento_1061833_2025-11-19.pdf · ID 1061833 · 19/11/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | pendentemente da realização de Assembleia Geral. Além disso, as condições previstas no Regulamento podem ser revistas por decisão dos Cotistas em Assembleia Geral. Tais alterações poderão afetar o modo de operação d a Classe Única de forma contrária ao interesse de parte dos Cotistas. 11.9.9 Risco de Utilização de Instrumentos Derivativos. A eventual contratação, pela Classe Única , de modalidades de operações de de…",1061833_regulamento_regulamento_1061833_2025-11-19.pdf · ID 1061833 · 19/11/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | . Tais alterações poderão afetar o modo de operação d a Classe Única de forma contrária ao interesse de parte dos Cotistas. 11.9.9 Risco de Utilização de Instrumentos Derivativos. A eventual contratação, pela Classe Única , de modalidades de operações de derivativos poderá ocorrer exclusivamente para proteção de posições detidas à vista pela Classe Única . A realização de operações pela Classe Única no mercado de de…",1061833_regulamento_regulamento_1061833_2025-11-19.pdf · ID 1061833 · 19/11/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Limite de concentração,concentration_limits,25%,nao_monitoravel,,Alerta se proxy IME ficar acima de 25%,"Limites por sacado, cedente ou grupo econômico exigem granularidade não disponível no IME público. | Extração local heurística; validar manualmente antes de ativar alerta. | do financiamento de serviços educacionais e de assessoria a intercâmbios prestados por Instituições Conveniadas não poderão 66 Confidencial exceder os percentuais por Grupo Econômico previstos na tabela abaixo, observado que tais limites deverão ser observados cumulativamente e somente serão válidos após o prazo de 12 (doze) meses contados da Data de Início do Fundo: Número de Grupos Econômicos Limite de concentraçã…",1061833_regulamento_regulamento_1061833_2025-11-19.pdf · ID 1061833 · 19/11/2025,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Subordinação mínima,subordination_ratio_min,50%,monitoravel,"Cotas Sub / PL %, Cotas MZ / PL % e Cotas SR / PL %",Alerta se proxy IME ficar abaixo de 50%,"O Informe Mensal traz PL e classes/cotas; a subordinação pode ser recalculada por classe quando as cotas reconciliam. | Extração local heurística; validar manualmente antes de ativar alerta. | ma contrária pela Gestora. 2.6.2. Na hipótese de o Prazo de Duração da Classe encerrar-se em qualquer dia que não um Dia Útil, a liquidação da Classe será efetuada no primeiro Dia Útil subsequente. 2.6.3. O término do Prazo de Duração de Classe não afetará o cumprimento das obrigações da Classe que tenham se tornado exigíveis até o último dia do Prazo de Duração da Classe, inclusive. Razão de Subordinação 2.7. A Raz…",1149521_regulamento_regulamento_1149521_2026-03-25.pdf · ID 1149521 · 25/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,Hedges/derivativos permitidos,permitted_hedges,Regra textual de derivativos/hedge; verificar observação e fonte.,parcial,Posições mantidas em derivativos,Alerta se posição agregada em derivativos contrariar a regra textual,"O IME mostra posições agregadas em derivativos, mas não valida integralmente elegibilidade contratual da proteção. | Extração local heurística; validar manualmente antes de ativar alerta. | ão afetar o modo de operação da Classe e acarretar perdas patrimoniais aos Cotistas. 4.7.26. Risco Proveniente do Uso de Derivativos A Classe poderá realizar operações em mercados de derivativos exclusivamente destinadas à proteção de posições detidas à vista, até o limite dessas. Mesmo para a Classe, que utiliza derivativos exclusivamente para proteção das posições à vista, existe o risco de a posição não represent…",1149521_regulamento_regulamento_1149521_2026-03-25.pdf · ID 1149521 · 25/03/2026,triagem estruturada por evidência documental offline; revisar antes de alerta contratual duro
