"Fundo","CNPJ","Cota/Classe","Tipo","Data deliberação","Data emissão / 1ª integralização","Data encerramento/oferta","Quantidade","Volume","VNU","Remuneração","Juros/remuneração","Amortização principal","Status/evidência","Fonte","Status curadoria"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","25ª série","Sênior","05/02/2021","Não identificada nos PDFs baixados","","","R$ 50.000.000,00","","Meta de remuneração definida no suplemento/ata; extração textual parcial","Não identificado como calendário fechado","Carência de 12 meses; após 13º mês amortização à razão indicada no ato, conforme ata","Emissão aprovada em assembleia; campos econômicos parciais","147591_assembleia_assembleia_147591_2021-02-05.pdf · ID 147591","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","26ª série","Sênior","22/07/2021","Não identificada nos PDFs baixados","","","R$ 50.000.000,00","","Meta de remuneração definida no suplemento/ata; extração textual parcial","Não identificado como calendário fechado","Carência de 12 meses; após 13º mês amortização à razão indicada no ato, conforme ata","Emissão aprovada em assembleia; campos econômicos parciais","197229_assembleia_assembleia_197229_2021-07-22.pdf · ID 197229","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","27ª série","Sênior","23/12/2021","Não identificada nos PDFs baixados","","","R$ 50.000.000,00","","Meta de remuneração definida no suplemento/ata; extração textual parcial","Não identificado como calendário fechado","Carência de 12 meses; após 13º mês amortização à razão indicada no ato, conforme ata","Emissão aprovada em assembleia; campos econômicos parciais","256459_assembleia_assembleia_256459_2021-12-23.pdf · ID 256459","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","29ª série","Sênior","11/07/2022","Não identificada nos PDFs baixados","","","R$ 50.000.000,00","","Meta de remuneração definida no suplemento/ata; extração textual parcial","Não identificado como calendário fechado","Carência de 12 meses; após 13º mês amortização à razão indicada no ato, conforme ata","Emissão aprovada em assembleia; campos econômicos parciais","324285_assembleia_assembleia_324285_2022-07-11.pdf · ID 324285","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","31ª série","Sênior","09/06/2023","09/06/2023","15/06/2023","","R$ 242.038.461,00","","Não identificada nos PDFs baixados","Não identificado como calendário fechado","Não identificado nos PDFs baixados","Anúncio de início e anúncio de encerramento localizados","475826_emissao_emissao_475826_2023-06-09.pdf; 479908_emissao_emissao_479908_2023-06-15.pdf","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","33ª série","Sênior","06/02/2024","09/02/2024","09/02/2024","","R$ 200.000.000,00","","Sobretaxa definida por procedimento de bookbuilding; trecho extraído menciona remuneração diária","Não identificado como calendário fechado","Data de resgate 60 meses a contar da 1ª integralização; cronograma fechado não identificado","Instrumento particular de emissão, início e encerramento localizados","596947_assembleia_assembleia_596947_2024-02-06.pdf; 602486_emissao_emissao_602486_2024-02-09.pdf","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","34ª série","Sênior","24/09/2024","24/09/2024","","","R$ 276.400.000,00","","Taxa DI + 1,40% a.a.","Não identificado como calendário fechado","Data de resgate 60 meses a contar da 1ª integralização; cronograma fechado não identificado","Aviso/ato de emissão localizado","743529_emissao_emissao_743529_2024-09-24.pdf; 743627_assembleia_assembleia_743627_2024-09-24.pdf","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","Subordinada Mezanino II-D","Mezanino","23/09/2024","Não identificada nos PDFs baixados","","","R$ 5.000.000,00","","Meta de remuneração definida no ato","Não identificado como calendário fechado","Data de resgate 60 meses a contar da 1ª integralização","Emissão subordinada mezanino identificada em assembleia","742937_assembleia_assembleia_742937_2024-09-23.pdf · ID 742937","curado parcial; evento identificado, cronograma incompleto"
"CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA","08.417.544/0001-65","35ª série","Sênior","30/06/2025","02/07/2025","12/08/2025","","R$ 468.000.000,00","","Sobretaxa definida por bookbuilding","Não identificado como calendário fechado","Carência de 12 meses; após 13º mês amortização à razão indicada no ato; cronograma fechado não identificado","Assembleia, início e encerramento localizados","939819_assembleia_assembleia_939819_2025-06-30.pdf; 939731_emissao_emissao_939731_2025-07-02.pdf; 974566_emissao_emissao_974566_2025-08-12.pdf","curado parcial; evento identificado, cronograma incompleto"
"PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL","26.749.095/0001-34","7ª série","Sênior","03/08/2021","Não identificada nos PDFs baixados","","","R$ 40.000.000,00","","Não identificada nos PDFs baixados","Não identificado como calendário fechado","Não identificado nos PDFs baixados","Evento de série identificado em assembleia","199890_assembleia_assembleia_199890_2021-08-03.pdf · ID 199890","curado parcial; evento identificado, cronograma incompleto"
"PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL","26.749.095/0001-34","8ª série","Sênior","07/01/2022","Não identificada nos PDFs baixados","","","R$ 50.000.000,00","","Meta de remuneração definida no ato; extração textual parcial","Não identificado como calendário fechado","Data de resgate 24 meses; detalhes remetem ao regulamento","Evento de série identificado em assembleia","256863_assembleia_assembleia_256863_2022-01-07.pdf · ID 256863","curado parcial; evento identificado, cronograma incompleto"
"PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL","26.749.095/0001-34","10ª série","Sênior","05/07/2023","14/07/2023","19/07/2023","","R$ 60.000.000,00","","Taxa DI + Sobretaxa Sênior","Não identificado como calendário fechado","Data de resgate conforme ato; cronograma fechado não identificado","Assembleia, início e encerramento localizados","487809_assembleia_assembleia_487809_2023-07-05.pdf; 492281_emissao_emissao_492281_2023-07-14.pdf; 494131_emissao_emissao_494131_2023-07-19.pdf","curado parcial; evento identificado, cronograma incompleto"
"PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL","26.749.095/0001-34","11ª série","Sênior","19/02/2024","20/02/2024","29/02/2024","","R$ 60.000.000,00","","Taxa DI + 2,20% a.a.","Não identificado como calendário fechado","Data de resgate conforme ato; cronograma fechado não identificado","Assembleia, início e encerramento localizados","607724_assembleia_assembleia_607724_2024-02-19.pdf; 607815_emissao_emissao_607815_2024-02-20.pdf; 613017_emissao_emissao_613017_2024-02-29.pdf","curado parcial; evento identificado, cronograma incompleto"
"PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL","26.749.095/0001-34","12ª série","Sênior","27/08/2024","16/09/2024","06/03/2025","","R$ 158.000.000,00","","Taxa DI + 1,80% a.a.","Não identificado como calendário fechado","Data de resgate conforme ato; cronograma fechado não identificado","Assembleia, início e encerramento localizados","728867_assembleia_assembleia_728867_2024-08-27.pdf; 740542_emissao_emissao_740542_2024-09-16.pdf; 852913_emissao_emissao_852913_2025-03-06.pdf","curado parcial; evento identificado, cronograma incompleto"
