Fundo,CNPJ,Critério,Chave,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,Status curadoria
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Relação Mínima,subordination_ratio_min,PL / Cotas Sênior >= 105%,monitoravel com ressalva,"PL / Cotas Sênior; equivalente a Cotas SR / PL <= 95,24%",Alerta se PL / Cotas Sênior ficar abaixo de 105%,"Regra é razão de cobertura sênior, não Sub/PL. O IME permite proxy se PL das cotas seniores reconciliar.",784311_regulamento_regulamento_784311_2024-11-18.pdf · p.139 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Alocação mínima em direitos creditórios,credit_rights_allocation_min,Dir Cred / PL >= 50%,monitoravel com ressalva,Dir Cred / PL,Alerta se Dir Cred / PL ficar abaixo de 50%,Regulamento fala em Direitos Creditórios; IME mede carteira agregada e não prova elegibilidade individual.,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.116 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Índice de Atraso Over 30,default_rate_evaluation_event,Over 30 > 14%,monitoravel com ressalva,Vencidos Over 30 d / Crédito,Alerta se NPL Over 30 acumulado ficar acima de 14%,Regulamento usa devedor com ao menos um direito creditório em atraso e valores não deduzidos de provisão; IME é proxy agregado por bucket.,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.130 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Índice de Atraso Over 60,default_rate_evaluation_event,Over 60 > 12%,monitoravel com ressalva,Vencidos Over 60 d / Crédito,Alerta se NPL Over 60 acumulado ficar acima de 12%,Regulamento usa devedor com ao menos um direito creditório em atraso e valores não deduzidos de provisão; IME é proxy agregado por bucket.,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.131 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Índice de Atraso Over 90,default_rate_evaluation_event,"Over 90 > 10,5%",monitoravel com ressalva,Vencidos Over 90 d / Crédito,"Alerta se NPL Over 90 acumulado ficar acima de 10,5%",Regulamento usa devedor com ao menos um direito creditório em atraso e valores não deduzidos de provisão; IME é proxy agregado por bucket.,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.131 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Índice de Atraso Over 180,default_rate_evaluation_event,Over 180 > 8%,monitoravel com ressalva,Vencidos Over 180 d / Crédito,Alerta se NPL Over 180 acumulado ficar acima de 8%,Regulamento usa devedor com ao menos um direito creditório em atraso e valores não deduzidos de provisão; IME é proxy agregado por bucket.,784311_regulamento_regulamento_784311_2024-11-18.pdf · p.97 e p.131 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Reserva de Liquidez,minimum_cash_ratio,Maior entre (Reserva de Amortização + Reserva de Despesas e Encargos) e Reserva de Fluxo de Caixa,parcial,Disponibilidades; exige cronograma/fluxo manual,Alerta qualitativo se disponibilidades parecerem insuficientes,"IME traz disponibilidades, mas não reconstrói reserva contratual futura sem cronograma e fluxo de caixa.",784311_regulamento_regulamento_784311_2024-11-18.pdf · p.65 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,Derivativos permitidos,permitted_hedges,Derivativos de juros e inflação para hedge até 1x PL,parcial,Posições mantidas em derivativos,Alerta qualitativo se exposição agregada destoar da regra,"IME mostra posição agregada, mas não identifica finalidade do hedge nem contraparte.",784311_regulamento_regulamento_784311_2024-11-18.pdf · p.52 · ID 784311,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Relação Mínima Total de Cotas Subordinadas,subordination_ratio_min,Cotas Subordinadas / PL >= 22%; sobe para 27% se Over 60 >= 6%,monitoravel com ressalva,Cotas Sub / PL % e Vencidos Over 60 d / Crédito,Alerta se Cotas Sub / PL ficar abaixo do mínimo aplicável,Regra tem gatilho dinâmico por Over 60. A primeira versão do app mostra proxy; analista deve validar se o mínimo aplicável é 22% ou 27%.,1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.151 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,Relação Mínima Cotas Subordinadas Junior,subordination_ratio_min,Cotas Subordinadas Junior / PL >= 10%; sobe para 15% se Over 60 >= 6%,parcial,Cotas Sub / PL %; exige segregação junior/mezanino,Alerta qualitativo se subordinação estrita parecer insuficiente,"IME nem sempre separa junior e mezanino de forma confiável para este teste; usar como referência, não gatilho automático.",1061833_regulamento_regulamento_1061833_2025-11-19.pdf · p.152 · ID 1061833,curado parcial; fonte documental validada e proxy IME revisável
