Fundo,CNPJ,Data,Tipo,Documento,Espécie,Arquivo,ID CVM
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,12/2020,outro,Informe Trimestral,,,148080
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,31/12/2020,outro,Demonstrações Financeiras,,,157691
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,05/02/2021 10:00,assembleia,AGE,Ata da Assembleia,data/raw/08417544000165/147591_assembleia_assembleia_147591_2021-02-05.pdf,147591
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,05/02/2021,regulamento,Regulamento,,data/raw/08417544000165/147607_regulamento_regulamento_147607_2021-02-05.pdf,147607
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,05/02/2021 10:00,assembleia,AGE,Ata da Assembleia,data/raw/08417544000165/147618_assembleia_assembleia_147618_2021-02-05.pdf,147618
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,09/02/2021,outro,Relatório de Agência de Rating,,,147361
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,03/2021,outro,Informe Trimestral,,,175559
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,12/05/2021,outro,Relatório de Agência de Rating,,,173680
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,06/2021,outro,Informe Trimestral,,,204884
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,13/07/2021 15:00,assembleia,AGO/E,Edital de Convocação,data/raw/08417544000165/193190_assembleia_assembleia_193190_2021-07-13.pdf,193190
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,22/07/2021 11:00,assembleia,AGO/E,Ata da Assembleia,data/raw/08417544000165/197229_assembleia_assembleia_197229_2021-07-22.pdf,197229
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,09/08/2021,outro,Relatório de Agência de Rating,,,207852
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,09/08/2021,outro,Relatório de Agência de Rating,,,208093
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,31/08/2021,outro,Relatório de Agência de Rating,,,271448
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,09/2021,outro,Informe Trimestral,,,236210
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,12/2021,outro,Informe Trimestral,,,267376
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,23/12/2021 11:00,assembleia,AGE,Ata da Assembleia,data/raw/08417544000165/256459_assembleia_assembleia_256459_2021-12-23.pdf,256459
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,31/12/2021,outro,Demonstrações Financeiras,,,279044
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,10/01/2022,outro,Relatório de Agência de Rating,,,292885
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,07/02/2022,outro,Relatório de Agência de Rating,,,271444
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,03/2022,outro,Informe Trimestral,,,305778
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,06/05/2022,outro,Relatório de Agência de Rating,,,301501
