Fundo,CNPJ,Data,Classe/Série,Evento,Volume,Remuneração,Amortização/Vencimento,Fonte
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,25ª Série,evento de cota,"R$ 50.000.000,00","a para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 25ª Série; (iv) Meta de Remuneração das Cotas Senio res da 25ª Série: as Cotas Seniores da 25ª Série serão valoradas diariam…","o, R$ 50.000.000,00 (cinquenta milhões de reais) e, no máximo, R$ 130.000.000,00 (cento e trinta milhões de reais); (ii) Quantidade de Cotas Seniores da 25ª Série: no mínimo, 50.000.000 ( cinquenta milhões) e, no máximo, 130.000.000 (cento e trinta milhões) de Cotas Seniores da 25ª Série; (iii) Prazo e Condições de Amortização das Cotas Seniores da 25ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",147591_assembleia_assembleia_147591_2021-02-05.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Seniores,evento de cota,,"alquer ônus ou gravame, seja de que tipo ou natureza for, sobre os Direitos Creditórios e os Ativos Financeiros integrantes da carteira do Fundo, exceto quando se tratar de margens de garantia prestadas às operações realizadas em mercados de derivativos; e 5 (b) emitir Cotas em desacordo com este Regulamento. 6. REMUNERAÇÃO DA ADMINISTRADORA E DEMAIS TAXAS DO FUNDO 6.1 O Fundo pagará pelos serviços de administração,…","e Regulamento; (d) monitorar, nos termos previstos neste Regulamento, os patamares exigidos com relação aos parâmetros abaixo, com base em relatórios previamente acordados com o Custodiante e com a Gestora, conforme aplicável: (1) Relação Mínima; (2) Alocação Mínima; (3) Reserva de Liquidez; (4) Reserva de Amortização; e (5) Reserva de Despesas e Encargos; (e) no caso de liquidação, dissolução, intervenção, decretaç…",147607_regulamento_regulamento_147607_2021-02-05.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,25ª Série,evento de cota,"R$ 50.000.000,00","a para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 25ª Série; (iv) Meta de Remuneração das Cotas Senio res da 25ª Série: as Cotas Seniores da 25ª Série serão valoradas diariam…","o, R$ 50.000.000,00 (cinquenta milhões de reais) e, no máximo, R$ 130.000.000,00 (cento e trinta milhões de reais); (ii) Quantidade de Cotas Seniores da 25ª Série: no mínimo, 50.000.000 ( cinquenta milhões) e, no máximo, 130.000.000 (cento e trinta milhões) de Cotas Seniores da 25ª Série; (iii) Prazo e Condições de Amortização das Cotas Seniores da 25ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",147618_assembleia_assembleia_147618_2021-02-05.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,26ª Série,evento de cota,"R$ 50.000.000,00","(A) em relação ao item (ii) da ordem do dia, trata-se da emissão da 26ª (vigésima sexta) série de Cotas Seniores do Fundo, no valor de, no mínimo, R$ 50.000.000,00 (cinquenta milhões de reais) e, no máximo, R$ 125.000.000,00 (cento e vinte e cinco milhões de reais), com prazo de 84 (oitenta e quatro) meses, cuja Meta de Remuneração será calculada nos termos do Suplemento de Cotas Seniores da 26ª Série, com base na v…","esgate, nos termos do item 14 do Regulamento, sendo certo que, a critério da Administradora e da Gestora, a emissão de Cotas Subordinadas Mezanino G poderá não ser implementada , desde que observada a Relação Mínima. Nos termos do Regulamento, as Cotas Subordinadas Mezanino G se subordinarão, para efeitos de eventual amortização, resgate e distribuição de rendimentos da carteira do Fundo, às Cotas Subordinadas Mezan…",193190_assembleia_assembleia_193190_2021-07-13.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,26ª Série,evento de cota,"R$ 50.000.000,00","a para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/ 72 (um sobre setenta e dois avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 26ª Série; (iv) Meta de Remuneração das Cotas Senior es da 26ª Série : as Cotas Seniores da 26ª Série serão valoradas diaria…","00,00 (cinquenta milhões de reais) e, no máximo, R$ 125.000.000,00 (cento e vinte e cinco milhões de reais); (ii) Quantidade de Cotas Seniores da 26ª Série : no mínimo, 50.000.000 (cinquenta milhões) e, no máximo, 125.000.000 (cento e vinte e cinco milhões) de Cotas Seniores da 26ª Série; (iii) Prazo e Condições de Amortização das Cotas Seniores da 26ª Série : prazo de 84 (oitenta e quatro) meses a contar da primeir…",197229_assembleia_assembleia_197229_2021-07-22.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,27ª Série,evento de cota,"R$ 50.000.000,00","a para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 27ª Série; (iv) Meta de Remuneração das Cotas Seniores da 27ª Série: as Cotas Seniores da 27ª Série serão valoradas diariame…","mínimo, R$ 50.000.000,00 (cinquenta milhões de reais) e, no máximo, R$ 110.000.000,00 (cento e dez milhões de reais); (ii) Quantidade de Cotas Seniores da 27ª Série: no mínimo, 50.000.000 (cinquenta milhões ) e, no máximo, 110.000.000 (cento e dez milhões) de Cotas Seniores da 27ª Série; (iii) Prazo e Condições de Amortização das Cotas Seniores da 27ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",256459_assembleia_assembleia_256459_2021-12-23.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,cotas seniores XXVI 125,evento de cota,,"bscrição por um mesmo investidor de todas as cotas emitidas. Não haverá, portanto, requisitos de dispersão das cotas. iii) Classes de cotas As cotas serão divididas em cotas seniores e cotas subordinadas. As cotas seniores estão divididas em séries com valores e prazos diferenciados para (i) amortização, resgate e remuneração (definidos nos parâmetros de pagamento), e (ii) parâmetros de ponderação de risco, conforme…",subordinadas mezanino D - 6.000 (+) Emissão de cotas subordinadas mezanino E - 2.000 (-) Resgate de cotas seniores XV (593) - (-) Resgate de cotas seniores XVII (1.733) - (-) Resgate de cotas seniores XIX (4.323) - (-) Resgate de cotas subordinadas mezanino VI (976) - (-) Resgate de cotas seniores XVI - (2.786) (-) Amortização de cotas seniores XV (1.197) (7.463) (-) Amortização de cotas seniores XVI - (22.917) (-)…,314941_assembleia_assembleia_314941_2022-06-14.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,29ª Série,evento de cota,"R$ 50.000.000,00","de 2022. 2 (A) em relação ao item (i) da ordem do dia, trata -se da emissão da 29ª (vigésima nona) série de Cotas Seniores do Fundo, no valor de, no mínimo, R$ 50.000.000,00 (cinquenta milhões de reais) e, no máximo, R$ 160.000.000,00 (cento e sessenta milhões de reais), com prazo de 60 (sessenta) meses, cuja Meta de Remuneração será calculada nos termos do Suplemento de Cotas Seniores da 29ª Série, com base na vari…","Resgate, nos termos do item 14 do Regulamento, sendo certo que, a critério da Administradora e da Gestora, a emissão de Cotas Subordinadas Mezanino I poderá não ser implementada, desde que observada a Relação Mínima. Nos termos do Regulamento, as Cotas Subordinadas Mezanino I se subordinarão, para efeitos de eventual amortização, resgate e distribuição de rendimentos da carteira do Fundo, às Cotas Subordinadas Mezan…",324000_assembleia_assembleia_324000_2022-07-11.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,29ª Série,evento de cota,"R$ 50.000.000,00","a para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/48 (um sobre quarenta e oito avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 29ª Série; (iv) Meta de Remuneração das Cotas Seniores da 29ª Série: as Cotas Seniores da 29ª Série serão valoradas diariame…","$ 50.000.000,00 (cinquenta milhões de reais) e, no máximo, R$ 160.000.000,00 (cento e sessenta milhões de reais); (ii) Quantidade de Cotas Seniores da 29ª Série: no mínimo, 50.000.000 (cinquenta milhões ) e, no máximo, 160.000.000 (cento e sessenta milhões) de Cotas Seniores da 29ª Série; (iii) Prazo e Condições de Amortização das Cotas Seniores da 29ª Série: prazo de 60 (sessenta) meses a contar da primeira data de…",324285_assembleia_assembleia_324285_2022-07-11.pdf
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,,Cotas Seniores,evento de cota,,"ia para amortização de principal e, a partir do 13º (décimo terceiro) mês (inclusive), amortização de principal à razão de 1/24 (um sobre vinte e quatro avos) de principal a cada mês. O pagamento de juros ocorrerá mensalmente sem carência, desde a 1ª Data de Integralização de Cotas Seniores da 31ª Série; (iv) Meta de Remuneração das Cotas Seniores da 31ª Série: as Cotas Seniores da 31ª Série serão valoradas diariame…","rdinada Mezanino I, Subordinada Mezanino II e Subordinada Júnior, sem qualquer alteração estrutural das regras de relacionadas aos fatores, razões e índices subordinação previstas no Regulamento, sendo (a) as Cotas Subordinadas Mezanino II subordinadas às Cotas Seniores e às Cotas Subordinadas Mezanino I para efeitos de amortização, resgate e distribuição dos rendimentos da carteira do Fundo, mas, para os mesmos efe…",458966_assembleia_assembleia_458966_2023-05-05.pdf
