Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte
SELLER,50.473.039/0001-02,Sênior 1ª série,Sênior,22/05/2023,31/05/2023,31/05/2023 (liquidação ajustada; encerramento máximo 20/11/2023),1.000.000,R$ 1.000.000.000,R$ 1.000,"DI + 1,60% a.a. (252 d.u.)","Semestral, a cada 6 meses a partir do 6º mês até a amortização final","15/12/2025: 25,00%; 15/01/2026: 33,33%; 15/02/2026: 50,00%; 15/03/2026: 100,00%",Data de liquidação ajustada para 31/05/2023; suplemento traz calendário completo,468755 p.3; 471622 p.2; 467929 pp.115-117
SELLER,50.473.039/0001-02,Sênior 2ª série,Sênior,22/05/2023,31/05/2023,31/05/2023 (liquidação ajustada; encerramento máximo 20/11/2023),500.000,R$ 500.000.000,R$ 1.000,"DI + 1,80% a.a. (252 d.u.)","Semestral, a cada 6 meses a partir do 6º mês até a amortização final","15/04/2026: 50,00%; 15/05/2026: 100,00%",Data de liquidação ajustada para 31/05/2023; suplemento traz calendário completo,468755 p.3; 471622 p.2; 467929 pp.118-120
SELLER,50.473.039/0001-02,Sênior 3ª série,Sênior,23/11/2023,Não identificada nos PDFs baixados,Anúncio de início 27/11/2023; encerramento máximo 24/05/2024,200.000,R$ 200.000.000,R$ 1.000,Não identificada nos PDFs baixados,Não identificado,Não identificado,Ata aprova emissão e remete a suplemento; suplemento com calendário específico não apareceu no texto extraído dos documentos baixados,558803 pp.4-5; 559856 pp.1-2
SELLER,50.473.039/0001-02,Sênior 4ª série,Sênior,23/11/2023,Não identificada nos PDFs baixados,Anúncio de início 27/11/2023; encerramento máximo 24/05/2024,100.000,R$ 100.000.000,R$ 1.000,Não identificada nos PDFs baixados,Não identificado,Não identificado,Ata aprova emissão e remete a suplemento; suplemento com calendário específico não apareceu no texto extraído dos documentos baixados,558803 pp.4-5; 559856 pp.1-2
SELLER,50.473.039/0001-02,Subordinada Júnior (emissão 2023),Subordinada Júnior,23/11/2023,Não identificada nos PDFs baixados,Colocação privada,Não informada,R$ 200.000.000,Valor unitário em vigor no dia da disponibilidade dos recursos,Residual / sem parâmetro definido,Sem calendário fixo identificado,Pode ser extraordinária se respeitado o índice de subordinação e caixa excedente; sem calendário fixo,Aprovada em assembleia como colocação privada,558803 p.4
SELLER,50.473.039/0001-02,Sênior 5ª série,Sênior,19/05/2025 e 26/05/2025,29/05/2025,04/06/2025,1.500.000,R$ 1.500.000.000,R$ 1.000,"DI + 0,85% a.a. (252 d.u.)","Semestral, a cada 6 meses a partir do 6º mês até a amortização final","15/12/2027: 16,67%; 15/01/2028: 20,00%; 15/02/2028: 25,00%; 15/03/2028: 33,33%; 15/04/2028: 50,00%; 15/05/2028: 100,00%",Oferta integralmente subscrita por 2 instituições financeiras ligadas,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2
SELLER II,55.471.753/0001-77,Subordinada Júnior inicial,Subordinada Júnior,10/06/2024,Não identificada nos PDFs baixados,Colocação privada,50.000,Até R$ 50.000.000,R$ 1.000,Residual / sem parâmetro definido,Sem calendário fixo identificado,Sem calendário fixo identificado,Aprovada na constituição do fundo,691281 p.2
SELLER II,55.471.753/0001-77,Sênior 1ª série,Sênior,25/07/2024; aditivo 26/07/2024,Não textual; distribuição encerrada em 06/08/2024,06/08/2024,1.000.000,R$ 1.000.000.000,R$ 1.000,"DI + 0,85% a.a. (252 d.u.)","Mensal, sem carência, na Data de Pagamento de cada mês",15/02/2027 a 15/07/2027: 1/6 do VNU em cada mês,"1.000.000 cotas subscritas por 67 fundos de investimento; fator de ponderação sênior 66,70%",705139 pp.3-5; 705145; 706203; 714216 pp.1-2
SELLER II,55.471.753/0001-77,Subordinada Júnior adicional,Subordinada Júnior,06/09/2024,Não identificada nos PDFs baixados,Colocação privada,Até 10.000,Não fixado; depende do VNU em vigor,VNU das juniores em vigor no dia,Residual / sem parâmetro definido,Sem calendário fixo identificado,Sem calendário fixo identificado,Instrumento de emissão de cotas subordinadas juniores,733048 pp.1-3
SELLER 3,63.572.282/0001-11,Subordinada Júnior - emissão aprovada em 05/01/2026,Subordinada Júnior,05/01/2026,Não identificada nos PDFs baixados,Colocação privada,2.000,R$ 2.000.000,R$ 1.000,Residual / sem parâmetro definido,Sem calendário fixo identificado,Sem calendário fixo identificado,Alteração regulamento aprova emissão privada,1080485 pp.1-2
SELLER 3,63.572.282/0001-11,Subordinada Júnior - 2ª emissão,Subordinada Júnior,12/01/2026,12/01/2026,Colocação privada,Total dividido pelo VNU das juniores em vigor,R$ 16.000.000,VNU das juniores em vigor,Residual / sem parâmetro definido,Sem calendário fixo identificado,Sem calendário fixo identificado,Instrumento define data de emissão em 12/01/2026,1080490 pp.1-3
SELLER 3,63.572.282/0001-11,Sênior 1ª série,Sênior,21/01/2026,05/02/2026,06/02/2026,1.500.000,R$ 1.500.000.000,R$ 1.000,"DI + 0,65% a.a. (252 d.u.)","Semestral, a cada 6 meses a partir do 6º mês até a amortização final","15/09/2028: 16,6667%; 15/10/2028: 20,0000%; 15/11/2028: 25,0000%; 15/12/2028: 33,3333%; 15/01/2029: 50,0000%; 15/02/2029: 100,0000%",Oferta integralmente subscrita por 37 fundos de investimento,1089840 pp.1-2; 1089845 pp.151-153; 1101975 p.2; 1104314 pp.1-2
SELLER 3,63.572.282/0001-11,Subordinada Júnior - 3ª emissão,Subordinada Júnior,21/01/2026,Não identificada nos PDFs baixados,Colocação privada,Não informada,Até R$ 195.000.000,VNU calculado na forma do regulamento,Residual / sem parâmetro definido,Sem calendário fixo identificado,Sem calendário fixo identificado,Aprovada junto à emissão sênior 1ª série,1089840 p.2
