Fundo,CNPJ,Data,Tipo,Documento,Espécie,Arquivo,ID CVM
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,05/05/2023,regulamento,Regulamento,,data/raw/50473039000102/467929_regulamento_regulamento_467929_2023-05-05.pdf,467929
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,05/05/2023,regulamento,Instrumento Particular de Alteração do Regulamento,,data/raw/50473039000102/467930_regulamento_regulamento_467930_2023-05-05.pdf,467930
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,22/05/2023 10:00,assembleia,AGE,Ata da Assembleia,data/raw/50473039000102/468755_assembleia_assembleia_468755_2023-05-22.pdf,468755
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,22/05/2023,regulamento,Regulamento,,data/raw/50473039000102/468756_regulamento_regulamento_468756_2023-05-22.pdf,468756
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,24/05/2023,emissao,Anúncio de Início,,data/raw/50473039000102/468767_emissao_emissao_468767_2023-05-24.pdf,468767
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,29/05/2023 10:00,assembleia,AGE,Ata da Assembleia,data/raw/50473039000102/471084_assembleia_assembleia_471084_2023-05-29.pdf,471084
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,29/05/2023,regulamento,Regulamento,,data/raw/50473039000102/471085_regulamento_regulamento_471085_2023-05-29.pdf,471085
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,30/05/2023,emissao,Aviso ao Mercado,,data/raw/50473039000102/471622_emissao_emissao_471622_2023-05-30.pdf,471622
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,06/2023,outro,Informe Trimestral,,,507608
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,09/2023,outro,Informe Trimestral,,,552582
SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,50473039000102,09/2023,outro,Informe Trimestral,,,553928
